cumulative_proportion,p_value
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,3e-06
0.006,1.7e-05
0.007,6.7e-05
0.008,0.000135
0.009,0.000287
0.01,0.000466
0.011,0.000775
0.012,0.001144
0.013,0.00162
0.014,0.002171
0.015,0.002726
0.016,0.003183
0.017,0.003883
0.018,0.00473
0.019,0.005368
0.02,0.006093
0.021,0.00685
0.022,0.007771
0.023,0.008532
0.024,0.009268
0.025,0.010433
0.026,0.011131
0.027,0.011833
0.028,0.01287
0.029,0.013677
0.03,0.014535
0.031,0.015541
0.032,0.016273
0.033,0.017391
0.034,0.01831
0.035,0.019331
0.036,0.020252
0.037,0.021271
0.038,0.022176
0.039,0.023111
0.04,0.024325
0.041,0.024965
0.042,0.026187
0.043,0.027177
0.044,0.027985
0.045,0.029248
0.046,0.030431
0.047,0.031528
0.048,0.032385
0.049,0.033387
0.05,0.034329
0.051,0.035239
0.052,0.036413
0.053,0.037532
0.054,0.038414
0.055,0.039469
0.056,0.040533
0.057,0.041731
0.058,0.042535
0.059,0.043438
0.06,0.044605
0.061,0.046029
0.062,0.047078
0.063,0.048164
0.064,0.048929
0.065,0.049994
0.066,0.050908
0.067,0.05199
0.068,0.053067
0.069,0.053973
0.07,0.054827
0.071,0.055695
0.072,0.056607
0.073,0.057754
0.074,0.058698
0.075,0.060131
0.076,0.061085
0.077,0.062322
0.078,0.063762
0.079,0.064753
0.08,0.065848
0.081,0.066918
0.082,0.067693
0.083,0.068469
0.084,0.069514
0.085,0.070502
0.086,0.071595
0.087,0.072807
0.088,0.073873
0.089,0.074724
0.09,0.075629
0.091,0.076753
0.092,0.077641
0.093,0.078772
0.094,0.079942
0.095,0.080897
0.096,0.081633
0.097,0.082925
0.098,0.083697
0.099,0.084894
0.1,0.085995
0.101,0.086785
0.102,0.087538
0.103,0.088798
0.104,0.089553
0.105,0.090395
0.106,0.09152
0.107,0.092599
0.108,0.093604
0.109,0.094269
0.11,0.095331
0.111,0.09632
0.112,0.096942
0.113,0.098056
0.114,0.099016
0.115,0.100357
0.116,0.101166
0.117,0.10218
0.118,0.103305
0.119,0.104208
0.12,0.104811
0.121,0.105791
0.122,0.106876
0.123,0.108093
0.124,0.109287
0.125,0.110668
0.126,0.111896
0.127,0.113051
0.128,0.113879
0.129,0.115099
0.13,0.115927
0.131,0.116741
0.132,0.117804
0.133,0.118985
0.134,0.120292
0.135,0.121296
0.136,0.122135
0.137,0.122942
0.138,0.12414
0.139,0.125055
