quantile,cramers_v
0.000000,0.000000
0.010000,0.000000
0.020000,0.005578
0.030000,0.010272
0.040000,0.014306
0.050000,0.015652
0.060000,0.016278
0.070000,0.016975
0.080000,0.017325
0.090000,0.018809
0.100000,0.019606
0.110000,0.020089
0.120000,0.021343
0.130000,0.022412
0.140000,0.023500
0.150000,0.024546
0.160000,0.025400
0.170000,0.026644
0.180000,0.027463
0.190000,0.029040
0.200000,0.029808
0.210000,0.030792
0.220000,0.031616
0.230000,0.033060
0.240000,0.033374
0.250000,0.034334
0.260000,0.035695
0.270000,0.037289
0.280000,0.038277
0.290000,0.039591
0.300000,0.041111
0.310000,0.041839
0.320000,0.043613
0.330000,0.045069
0.340000,0.046182
0.350000,0.047825
0.360000,0.049662
0.370000,0.050855
0.380000,0.051821
0.390000,0.054641
0.400000,0.056750
0.410000,0.058165
0.420000,0.059244
0.430000,0.061250
0.440000,0.063680
0.450000,0.064656
0.460000,0.067546
0.470000,0.069531
0.480000,0.071126
0.490000,0.073112
0.500000,0.075057
0.510000,0.077274
0.520000,0.080644
0.530000,0.081804
0.540000,0.085048
0.550000,0.087076
0.560000,0.089151
0.570000,0.090269
0.580000,0.093022
0.590000,0.097149
0.600000,0.102062
0.610000,0.103974
0.620000,0.106176
0.630000,0.110475
0.640000,0.111111
0.650000,0.112529
0.660000,0.114750
0.670000,0.117450
0.680000,0.123802
0.690000,0.128949
0.700000,0.132075
0.710000,0.137321
0.720000,0.140404
0.730000,0.144454
0.740000,0.151404
0.750000,0.161450
0.760000,0.175850
0.770000,0.185186
0.780000,0.204002
0.790000,0.212477
0.800000,0.226188
0.810000,0.242625
0.820000,0.258623
0.830000,0.271153
0.840000,0.278906
0.850000,0.297111
0.860000,0.316046
0.870000,0.330354
0.880000,0.351077
0.890000,0.372337
0.900000,0.395409
0.910000,0.423593
0.920000,0.432139
0.930000,0.465655
0.940000,0.502426
0.950000,0.547037
0.960000,0.683168
0.970000,0.802417
0.980000,0.846547
0.990000,0.922971
1.000000,0.984975
